"","WSA Name","Population","Population with access  to water","Population Reliable Supply","% Population Reliable Supply","Urban Population","Urban Population with access to water","Urban Population Reliable Supply","% Urban Population Reliable Supply","Rural Population","Rural Population  with access  to water","Rural Population Reliable Supply","% Rural Population Reliable Supply"
"","Alfred Nzo","805 005","322 082","130 649","16%","45 260","17 609","7 016","16%","759 745","304 473","123 633","16%"
"","Amathole","814 377","506 266","194 139","24%","143 723","105 879","50 499","35%","670 654","400 387","143 640","21%"
"","Blue Crane Route","33 295","32 455","29 798","89%","26 013","25 346","23 268","89%","7 282","7 109","6 530","90%"
"","Buffalo City Metropolitan Municipality","773 601","773 601","584 550","76%","451 620","451 620","345 458","76%","321 981","321 981","239 092","74%"
"","Chris Hani","777 416","593 273","324 906","42%","166 179","156 805","119 900","72%","611 237","436 468","205 006","34%"
"","Dr Beyers Naudé","76 037","72 723","65 124","86%","75 119","71 805","64 491","86%","918","918","633","69%"
"","Joe Gqabi","345 629","253 090","155 181","45%","135 928","112 411","81 644","60%","209 701","140 679","73 537","35%"
"","Kouga","105 139","101 103","86 290","82%","101 376","97 411","83 158","82%","3 763","3 692","3 132","83%"
"","Koukamma","40 511","38 265","26 701","66%","39 774","37 528","26 195","66%","737","737","506","69%"
"","Makana","75 832","72 841","61 170","81%","75 676","72 685","61 051","81%","156","156","119","76%"
"","Ndlambe","58 436","54 886","49 184","84%","57 914","54 364","48 723","84%","522","522","461","88%"
"","Nelson Mandela Bay Metropolitan Municipality","1 172 592","1 172 592","1 036 553","88%","1 167 587","1 167 587","1 032 148","88%","5 005","5 005","4 405","88%"
"","OR Tambo","1 350 803","450 746","223 870","17%","153 821","64 046","41 441","27%","1 196 982","386 700","182 429","15%"
"","Sundays River Valley","55 513","47 512","32 637","59%","55 292","47 291","32 489","59%","221","221","148","67%"
"","Dihlabeng","150 828","144 737","129 895","86%","143 577","137 779","123 646","86%","7 251","6 958","6 249","86%"
"","Kopanong","53 622","53 379","43 844","82%","44 281","44 131","36 166","82%","9 341","9 248","7 678","82%"
"","Letsemeng","42 994","42 994","34 761","81%","35 688","35 688","28 855","81%","7 306","7 306","5 906","81%"
"","Mafube","61 656","61 511","50 732","82%","58 155","58 010","47 843","82%","3 501","3 501","2 889","83%"
"","Maluti-A-Phofung","379 869","341 156","208 493","55%","237 276","212 449","129 947","55%","142 593","128 707","78 546","55%"
"","Mangaung Metropolitan Municipality","844 831","844 831","608 408","72%","823 451","823 451","592 868","72%","21 380","21 380","15 540","73%"
"","Mantsopa","57 510","55 172","32 330","56%","52 907","50 742","29 742","56%","4 603","4 430","2 588","56%"
"","Masilonyana","67 448","64 364","34 379","51%","61 824","58 994","31 505","51%","5 624","5 370","2 874","51%"
"","Matjhabeng","461 295","453 406","417 250","90%","452 377","444 617","409 185","90%","8 918","8 789","8 065","90%"
"","Metsimaholo","176 255","175 139","158 259","90%","173 113","171 997","155 423","90%","3 142","3 142","2 836","90%"
"","Mohokare","38 515","38 083","18 444","48%","33 723","33 335","16 154","48%","4 792","4 748","2 290","48%"
"","Moqhaka","165 379","161 804","114 084","69%","157 782","154 345","108 842","69%","7 597","7 459","5 242","69%"
"","Nala","83 933","83 039","76 270","91%","73 019","72 233","66 354","91%","10 914","10 806","9 916","91%"
"","Ngwathe","127 279","125 344","93 587","74%","118 900","117 094","87 433","74%","8 379","8 250","6 154","73%"
"","Nketoana","69 837","69 837","44 480","64%","61 382","61 382","39 102","64%","8 455","8 455","5 378","64%"
"","Phumelela","53 782","52 198","43 430","81%","50 521","49 014","40 791","81%","3 261","3 184","2 639","81%"
"","Setsoto","126 064","122 323","64 425","51%","120 776","117 197","61 719","51%","5 288","5 126","2 706","51%"
"","Tokologo","31 239","30 178","21 030","67%","25 473","24 626","17 153","67%","5 766","5 552","3 877","67%"
"","Tswelopele","50 736","49 009","45 711","90%","40 413","39 062","36 409","90%","10 323","9 947","9 302","90%"
"","City of Johannesburg Metropolitan Municipality","5 795 032","5 795 032","4 942 877","85%","5 544 332","5 544 332","4 729 122","85%","250 700","250 700","213 755","85%"
"","City of Tshwane Metropolitan Municipality","3 835 872","3 699 337","3 315 150","86%","3 446 411","3 322 486","2 977 860","86%","389 461","376 851","337 290","87%"
"","Ekurhuleni Metropolitan Municipality","3 944 477","3 944 281","3 506 475","89%","3 434 853","3 434 767","3 053 412","89%","509 624","509 514","453 063","89%"
"","Emfuleni","853 720","853 539","774 542","91%","792 649","792 468","719 408","91%","61 071","61 071","55 134","90%"
"","Lesedi","131 794","127 730","116 689","89%","108 462","104 857","96 019","89%","23 332","22 873","20 670","89%"
"","Merafong City","218 967","217 892","176 423","81%","202 992","201 977","163 544","81%","15 975","15 915","12 879","81%"
"","Midvaal","131 070","118 101","106 106","81%","80 995","72 427","65 430","81%","50 075","45 674","40 676","81%"
"","Mogale City","447 983","426 432","383 331","86%","297 256","282 633","254 166","86%","150 727","143 799","129 165","86%"
"","Rand West City","309 531","285 248","241 512","78%","253 974","232 840","195 694","77%","55 557","52 408","45 818","82%"
"","Amajuba","149 389","124 920","99 509","67%","24 636","16 998","13 132","53%","124 753","107 922","86 377","69%"
"","City of uMhlathuze","433 886","402 641","333 622","77%","210 854","201 989","171 313","81%","223 032","200 652","162 309","73%"
"","Ethekwini Metropolitan Municipality","3 898 255","3 807 479","3 168 240","81%","3 440 303","3 364 084","2 810 457","82%","457 952","443 395","357 783","78%"
"","Harry Gwala","538 695","329 162","190 138","35%","66 754","56 618","44 113","66%","471 941","272 544","146 025","31%"
"","iLembe","693 255","438 882","281 275","41%","261 122","208 232","133 167","51%","432 133","230 650","148 108","34%"
"","King Cetshwayo","588 652","403 979","301 937","51%","30 319","19 452","14 582","48%","558 333","384 527","287 355","51%"
"","Msunduzi","716 098","701 616","582 445","81%","550 573","539 612","448 681","81%","165 525","162 004","133 764","81%"
"","Newcastle","409 750","406 862","332 435","81%","80 201","79 455","64 891","81%","329 549","327 407","267 544","81%"
"","Ugu","794 210","514 824","237 037","30%","208 419","159 285","84 544","41%","585 791","355 539","152 493","26%"
